Rank,Tier,Firm,Attorney,Practice Area,Phone,Alt Phone,Address,Hours,Angle,Data Notes
1,A,Law Office of Joshua R. Bourne,Joshua R. Bourne,Criminal defense / DUI / domestic violence,(619) 238-8242,,"185 F St, Ste 100, San Diego, CA 92101","Mon-Fri 8:30-5; closed Sat-Sun","DUI and DV are weekend-night practices; his phone is off weekend nights. Ask where a 1 AM arrest call goes.",
2,A,Law Office of Andrew K. Nietor,Andrew K. Nietor,Immigration + criminal defense / removal defense,(619) 794-2386,,"750 B St, Ste 2330, San Diego, CA 92101","Mon-Fri 8-5; closed Sat-Sun","Detention calls don't keep business hours. Two urgent practice areas, one phone line, solo since 2004.",
3,A,Susan V. Perez Law Offices,Susan V. Perez,Immigration / family petitions / naturalization,(619) 819-8648,,"1901 First Ave, Ste 108/110, San Diego, CA 92101","SD + Manila offices","Strongest angle: Philippines clients are 15 hrs ahead, so their workday is her dead of night.",
4,A,Law Office of Nadine M. Sayegh,Nadine M. Sayegh,Family law / restraining orders / elder abuse,(858) 800-2991,(760) 233-1002,"10815 Rancho Bernardo Rd, Ste 205, San Diego, CA 92127 (+ Escondido)","Mon-Fri 9-5; closed Sat-Sun","Two offices, two numbers, one person. RO calls are emergencies -- nobody waits for Monday 9 AM.",
5,B,Law Offices of Anna R. Yum,Anna R. Yum,Criminal defense,(619) 233-4433,,"1230 Columbia St, Ste 1140, San Diego, CA 92101","Listed open 24 hours","Already advertises 24/7, so already sold on value. Ask who actually answers at 3 AM.",
6,B,Law Office of Matthew H. Springmeyer,Matthew H. Springmeyer,Immigration + criminal defense,(619) 780-2716,(619) 237-0384,"2305 Historic Decatur Rd, Ste 100, San Diego, CA 92106 (+ Chula Vista)",Not published,"Immigration + criminal + two offices, one attorney. Same detention-call pressure as #2.","CONFLICT: two numbers in directories. Try primary, fall back to alt (Justia)."
7,B,Law Office of Michelle Paul,Michelle Paul,Family law / divorce / DV restraining orders,(619) 624-3333,,"2726 Shelter Island Dr, Ste 495, San Diego, CA 92106",Free consultations offered,"Free consults means high intake volume; conversion on those calls is the whole business.",
8,B,"Law Office of Vikas Bajaj, APC",Vikas Bajaj,Criminal defense / DUI / federal,(619) 525-7005,,"San Diego, CA -- street address not confirmed",Not published,"30+ practice areas means wildly varied intake and heavy qualifying work before he knows if a caller matters.","Address and hours not found in listings."
9,B,"George H. Ramos, Jr. & Associates","George H. Ramos, Jr.",Criminal defense / DUI,(619) 231-1830,,"427 C St, Ste 306, San Diego, CA 92101","Listed open 24 hours, 7 days","Publicly committed to 24/7, so someone eats that cost now -- answering service or his own phone. Ask which.",
10,B,Law Office of Brian Burkett,Brian Burkett,Family law / custody / divorce,(619) 250-2683,,"591 Camino De La Reina, Ste 821, San Diego, CA 92108","8 AM-8 PM, 7 days","Lowest priority: already answering 84 hrs/wk himself. Sell him his weekend back, not his leads.",
